Timestamp,Status,Response Time,Client IP,Method,Endpoint,Response Time (s)
2025/02/19 - 06:01:29,200,174.195332ms,10.61.248.15,POST,/api/generate,0.174195332
2025/02/19 - 06:01:32,200,356.300774ms,10.61.248.15,POST,/api/generate,0.356300774
2025/02/19 - 06:01:35,200,183.720139ms,10.61.248.15,POST,/api/generate,0.183720139
2025/02/19 - 06:02:50,200,274.859664ms,10.61.248.15,POST,/api/generate,0.274859664
2025/02/19 - 06:02:53,200,1.809831905s,10.61.248.15,POST,/api/generate,1.809831905
2025/02/19 - 06:02:54,200,564.824885ms,10.61.248.15,POST,/api/generate,0.564824885
2025/02/19 - 06:02:54,200,329.529123ms,10.61.248.15,POST,/api/generate,0.329529123
2025/02/19 - 06:02:55,200,291.563078ms,10.61.248.15,POST,/api/generate,0.291563078
2025/02/19 - 06:03:21,200,33.978491733s,172.16.34.127,POST,/api/chat,33.97849173
2025/02/19 - 06:03:22,200,742.931532ms,172.16.34.127,POST,/api/chat,0.742931532
2025/02/19 - 06:04:08,200,1.314921917s,10.61.248.15,POST,/api/generate,1.314921917
2025/02/19 - 06:04:09,200,437.913743ms,10.61.248.15,POST,/api/generate,0.437913743
2025/02/19 - 06:04:10,200,532.995572ms,10.61.248.15,POST,/api/generate,0.532995572
2025/02/19 - 06:04:13,200,3.123430343s,10.61.248.15,POST,/api/generate,3.123430343
2025/02/19 - 06:04:13,200,375.448805ms,10.61.248.15,POST,/api/generate,0.375448805
2025/02/19 - 06:04:13,200,277.53405ms,10.61.248.15,POST,/api/generate,0.27753405
2025/02/19 - 06:04:14,200,170.622408ms,10.61.248.15,POST,/api/generate,0.170622408
2025/02/19 - 06:04:14,200,196.928938ms,10.61.248.15,POST,/api/generate,0.196928938
2025/02/19 - 06:04:15,200,790.742261ms,10.61.248.15,POST,/api/generate,0.790742261
2025/02/19 - 06:04:15,200,340.782186ms,10.61.248.15,POST,/api/generate,0.340782186
2025/02/19 - 06:04:16,200,916.649545ms,10.61.248.15,POST,/api/generate,0.916649545
2025/02/19 - 06:04:32,200,16.188991129s,10.61.248.15,POST,/api/generate,16.18899113
2025/02/19 - 06:05:52,200,359.960697ms,10.61.248.15,POST,/api/generate,0.359960697
2025/02/19 - 06:05:52,200,178.155947ms,10.61.248.15,POST,/api/generate,0.178155947
2025/02/19 - 06:05:53,200,172.168605ms,10.61.248.15,POST,/api/generate,0.172168605
2025/02/19 - 06:05:58,200,182.282801ms,10.61.248.15,POST,/api/generate,0.182282801
2025/02/19 - 06:05:59,200,180.354123ms,10.61.248.15,POST,/api/generate,0.180354123
2025/02/19 - 06:06:00,200,180.425453ms,10.61.248.15,POST,/api/generate,0.180425453
2025/02/19 - 06:06:01,200,359.759278ms,10.61.248.15,POST,/api/generate,0.359759278
